"table_name","column_name","data_type","nullable","column_default","primary_key","references_table","references_column","total_columns","policies_count","policy_names","triggers_count","trigger_names"
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","athlete_id","uuid","NULL","null","","athletes","athlete_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","club_id","uuid","NULL","null","","clubs","club_id","9","0","","0",""
"club_memberships","start_date","date","NULL","null","","null","null","9","0","","0",""
"club_memberships","end_date","date","NULL","null","","null","null","9","0","","0",""
"club_memberships","monthly_fee","numeric","NULL","null","","null","null","9","0","","0",""
"club_memberships","status","text","NULL","null","","null","null","9","0","","0",""
"club_memberships","created_at","timestamp without time zone","NULL","now()","","null","null","9","0","","0",""
"club_memberships","updated_at","timestamp without time zone","NULL","now()","","null","null","9","0","","0",""
"club_staff","staff_id","uuid","NOT NULL","null","PK","null","null","11","0","","0",""
"club_staff","first_name","text","NULL","null","","null","null","11","0","","0",""
